INFO:root:			wsddn_cls: 7.8539, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter  400] loss: 5.0756, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.4162, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter  500] loss: 5.1953, lr: 1.00e-03
INFO:root:			wsddn_cls: 7.2793, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter  600] loss: 4.8233, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.5918, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter  700] loss: 5.1962, lr: 1.00e-03
INFO:root:			wsddn_cls: 2.0832, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter  800] loss: 5.3952, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.6236, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter  900] loss: 4.9202, lr: 1.00e-03
INFO:root:			wsddn_cls: 10.2218, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 1000] loss: 5.1940, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.5485, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 1100] loss: 5.0801, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.3865, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 1200] loss: 4.8397, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.1649, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 1300] loss: 5.5376, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.6806, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 1400] loss: 5.2468, lr: 1.00e-03
INFO:root:			wsddn_cls: 2.0212, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 1500] loss: 5.2286, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.3721, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter 1600] loss: 5.1538, lr: 1.00e-03
